
****** xsim v2026.1 (64-bit)
  **** SW Build 6511674 on Tue Jun 16 11:02:23 MDT 2026
  **** IP Build 6504888 on Tue Jun 09 09:05:25 MDT 2026
  **** SharedData Build 6501428 on Mon Jun 08 17:34:18 MDT 2026
  **** Start of session at: Wed Aug 26 09:31:16 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/e2r_cdc_ar_xsim/xsim_script.tcl
# xsim {e2r_cdc_ar_xsim} -autoloadwcfg -runall
Time resolution is 1 ps
run -all
E2R-CDC-AR-XSIM-00 F1f START m_period=80ns s_period=10ns window=50
T=5000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2920000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2925000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2935000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2945000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2955000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2965000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2975000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2985000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=2995000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3000000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3005000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3015000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3025000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3035000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3045000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3055000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3065000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3075000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3080000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3085000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3095000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3105000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3115000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3125000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3135000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3145000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3155000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3160000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3165000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3175000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3185000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3195000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3205000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3215000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3225000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3235000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3240000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3245000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3255000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3265000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3275000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3285000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3295000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3305000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3315000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3320000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3325000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3335000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3345000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3355000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3365000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3375000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3385000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3395000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3400000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3405000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3415000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3425000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3435000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3445000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3455000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3465000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3475000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3480000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3485000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3495000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3505000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3515000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3525000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3535000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3545000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3555000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3560000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3565000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3575000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3585000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3595000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3605000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3615000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3625000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3635000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3640000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3645000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3655000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3665000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3675000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3685000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3695000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3705000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3715000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3720000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3725000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3735000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3745000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3755000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3765000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3775000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3785000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3795000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3800000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3805000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3815000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3825000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3835000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3845000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3855000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3865000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3875000 m_clk=0 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3880000 m_clk=1 s_clk=0 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=3885000 m_clk=1 s_clk=1 m_rst_n=1 s_rst_n=1 | m_arv=0 m_arr=1 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
